PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
16;Pidgey;;26/30;"61,00";QuickAttackFast;AirCutter;15;7;8;15;1346;;No;http://poke.isitin.org/#MTYsMjUsMiwyNiwxNQ==
69;Bellsprout;;698/766;"60,00";AcidFast;SludgeBomb;72;13;4;11;41;;No;http://poke.isitin.org/#NjksMjUsMjQsNjk4LDcy
22;Fearow;;974/1047;"59,00";PeckFast;DrillRun;79;14;11;0;158;;No;http://poke.isitin.org/#MjIsMjUsMjEsOTc0LDc5
63;Abra;;301/343;"59,00";ZenHeadbuttFast;SignalBeam;33;14;7;6;14;;No;http://poke.isitin.org/#NjMsMjUsMjAsMzAxLDMz
70;Weepinbell;;1051/1132;"59,00";AcidFast;SludgeBomb;86;13;8;5;41;;No;http://poke.isitin.org/#NzAsMjUsMjMsMTA1MSw4Ng==
60;Poliwag;;448/500;"58,00";MudShotFast;MudBomb;57;4;15;12;572;;No;http://poke.isitin.org/#NjAsMjUsMjIsNDQ4LDU3
79;Slowpoke;;635/696;"58,00";ConfusionFast;WaterPulse;116;5;13;15;102;;No;http://poke.isitin.org/#NzksMjUsMjAsNjM1LDExNg==
52;Meowth;;481/540;"57,00";ScratchFast;DarkPulse;58;14;2;7;7;;No;http://poke.isitin.org/#NTIsMjUsMjUsNDgxLDU4
18;Pidgeot;;439/471;"57,00";SteelWingFast;Hurricane;65;7;12;9;1346;;No;http://poke.isitin.org/#MTgsMjUsOCw0MzksNjU=
41;Zubat;;368/422;"54,00";BiteFast;AirCutter;51;12;11;0;96;;No;http://poke.isitin.org/#NDEsMjUsMjMsMzY4LDUx
88;Grimer;;51/56;"54,00";MudSlapFast;SludgeBomb;28;6;9;13;3;;No;http://poke.isitin.org/#ODgsMjUsMiw1MSwyOA==
19;Rattata;;345/398;"54,00";TackleFast;BodySlam;40;10;15;2;997;;No;http://poke.isitin.org/#MTksMjUsMjQsMzQ1LDQw
77;Ponyta;;270/296;"53,00";TackleFast;FireBlast;36;13;6;4;3;;No;http://poke.isitin.org/#NzcsMjUsNywyNzAsMzY=
46;Paras;;487/549;"53,00";BugBiteFast;SeedBomb;47;12;1;8;85;;No;http://poke.isitin.org/#NDYsMjUsMjEsNDg3LDQ3
93;Haunter;;357/394;"53,00";ShadowClawFast;SludgeBomb;40;15;3;5;42;;No;http://poke.isitin.org/#OTMsMjUsMTAsMzU3LDQw
92;Gastly;;463/528;"53,00";SuckerPunchFast;SludgeBomb;40;14;8;3;42;;No;http://poke.isitin.org/#OTIsMjUsMjMsNDYzLDQw
17;Pidgeotto;;694/769;"52,00";SteelWingFast;Twister;80;9;12;2;1346;;No;http://poke.isitin.org/#MTcsMjUsMjIsNjk0LDgw
19;Rattata;;97/113;"52,00";QuickAttackFast;HyperFang;23;8;11;6;997;;No;http://poke.isitin.org/#MTksMjUsNyw5NywyMw==
90;Shellder;;474/540;"52,00";TackleFast;BubbleBeam;42;13;1;7;35;;No;http://poke.isitin.org/#OTAsMjUsMjMsNDc0LDQy
43;Oddish;;617/688;"51,00";AcidFast;Moonblast;58;12;4;5;50;;No;http://poke.isitin.org/#NDMsMjUsMjEsNjE3LDU4
80;Slowbro;;1378/1484;"50,00";ConfusionFast;WaterPulse;117;5;15;6;102;;No;http://poke.isitin.org/#ODAsMjUsMjAsMTM3OCwxMTc=
72;Tentacool;;522/594;"48,00";PoisonStingFast;Wrap;58;4;11;11;45;;No;http://poke.isitin.org/#NzIsMjUsMjMsNTIyLDU4
29;NidoranFemale;;549/625;"48,00";BiteFast;PoisonFang;77;11;2;6;56;;No;http://poke.isitin.org/#MjksMjUsMjUsNTQ5LDc3
32;NidoranMale;;460/529;"46,00";PeckFast;BodySlam;60;11;4;4;37;;No;http://poke.isitin.org/#MzIsMjUsMjIsNDYwLDYw
1;Bulbasaur;;296/336;"45,00";TackleFast;PowerWhip;46;0;11;15;3;;No;http://poke.isitin.org/#MSwyNSwxMSwyOTYsNDY=
15;Beedrill;;173/194;"43,00";BugBiteFast;XScissor;40;4;9;9;1362;;No;http://poke.isitin.org/#MTUsMjUsNSwxNzMsNDA=
